language pair	# of users
cs-sl	3
sk-sl	3
de-de-AT	3
arz-tk	3
arz-tr	3
cr-tk	3
cr-tr	3
cu-tk	3
ext-tk	3
ext-tr	3
ja-tk	3
ml-tk	3
ml-tr	3
pl-tk	3
da-sh	3
ar-el	3
el-he	3
el-ko	3
fi-ko	3
he-sv	3
hu-ko	3
ko-nl	3
ko-no	3
ko-sv	3
crh-kk	3
crh-ky	3
kk-ug	3
ky-ug	3
tk-tt	3
tk-ug	3
tt-ug	3
ug-uz	3
az-de	3
fa-sv	3
sv-uk	3
pt-pt-BR	3
el-uk	3
eo-sr	3
la-uk	3
az-crh	3
fr-hy	3
ace-id	3
af-pt	3
af-ru	3
ar-ms	3
da-uk	3
da-vi	3
de-ms	3
es-ms	3
fa-he	3
fa-nl	3
fr-sl	3
hi-nl	3
hi-pl	3
hr-kk	3
hr-uk	3
hu-sl	3
id-tr	3
ja-uk	3
kk-zh	3
ko-ro	3
ms-pt	3
nl-ur	3
ro-uk	3
ru-sl	3
ru-ur	3
uk-zh	3
bs-no	3
bs-sl	3
ca-sl	3
eml-es	3
en-gd	3
en-sjn	3
eo-ko	3
es-gd	3
fr-gd	3
ru-simple	3
se-sv	3
cmn-en-GB	3
cmn-yue	3
cmn-zh-CN	3
cmn-zh-HK	3
cmn-zh-Hans	3
cmn-zh-Hant	3
cmn-zh-MO	3
cmn-zh-MY	3
cmn-zh-SG	3
cmn-zh-TW	3
en-zh-HK	3
en-zh-MO	3
en-zh-MY	3
en-zh-SG	3
en-GB-yue	3
en-GB-zh	3
en-GB-zh-CN	3
en-GB-zh-HK	3
en-GB-zh-Hans	3
en-GB-zh-Hant	3
en-GB-zh-MO	3
en-GB-zh-MY	3
en-GB-zh-SG	3
en-GB-zh-TW	3
yue-zh-CN	3
yue-zh-HK	3
yue-zh-Hans	3
yue-zh-MO	3
yue-zh-MY	3
yue-zh-SG	3
yue-zh-TW	3
zh-zh-CN	3
zh-zh-HK	3
zh-zh-MO	3
zh-zh-MY	3
zh-zh-SG	3
zh-zh-TW	3
zh-CN-zh-HK	3
zh-CN-zh-Hant	3
zh-CN-zh-MO	3
zh-CN-zh-MY	3
zh-CN-zh-SG	3
zh-HK-zh-Hans	3
zh-HK-zh-Hant	3
zh-HK-zh-MO	3
zh-HK-zh-MY	3
zh-HK-zh-SG	3
zh-HK-zh-TW	3
zh-Hans-zh-MO	3
zh-Hans-zh-MY	3
zh-Hans-zh-SG	3
zh-Hans-zh-TW	3
zh-Hant-zh-MO	3
zh-Hant-zh-MY	3
zh-Hant-zh-SG	3
zh-Hant-zh-TW	3
zh-MO-zh-MY	3
zh-MO-zh-SG	3
zh-MO-zh-TW	3
zh-MY-zh-SG	3
zh-MY-zh-TW	3
zh-SG-zh-TW	3
am-en	3
en-GB-sco	3
en-si	3
en-ppl	3
fa-prs	3
prs-tg	3
ar-kab	3
en-kab	3
fr-kab	3
br-en	3
da-nb	3
de-hy	3
en-lmo	3
fr-lmo	3
it-lmo	3
id-yue	3
hi-pnb	3
pa-pnb	3
id-simple	3
jv-simple	3
en-kea	3
it-lij	3
ar-la	3
es-sh	3
he-la	3
he-yi	3
es-gsw	3
es-nah	3
fr-lt	3
en-krl	3
en-olo	3
fi-krl	3
fi-olo	3
krl-olo	3
la-vec	3
fr-sw	3
gag-kiu	3
en-en-gb	3
es-jv	3
fo-fr	3
fo-la	3
is-la	3
ay-en	3
ay-es	3
ay-fr	3
ay-it	3
ay-pt	3
be-it	3
be-lt	3
be-lv	3
lt-sv	3
it-roa-Tara	3
fr-pcd	3
pt-sh	3
pt-vec	3
az-ky	3
ky-lt	3
en-ota	3
kk-lv	3
kk-ota	3
lt-ota	3
lt-otk	3
lt-tr	3
ota-otk	3
ota-ru	3
ota-tr	3
ota-uk	3
otk-tr	3
otk-uk	3
en-os	3
os-ru	3
az-kk	3
az-tt	3
az-uz	3
tg-uz	3
wuu-zh	3
it-roa-tara	3
ady-en	2
bcc-bqi	2
bcc-en	2
bcc-fa	2
bcc-tg	2
bqi-tg	2
atj-fr	2
az-azb	2
azb-en	2
azb-fa	2
fr-tt	2
it-tt	2
ar-hi	2
ar-th	2
ar-tl	2
be-kk	2
bg-is	2
bg-no	2
grc-mk	2
grc-pl	2
grc-tr	2
bg-sq	2
cu-de	2
bg-fi	2
bg-ja	2
cu-mk	2
cu-sr	2
bg-nl	2
cu-fr	2
bho-hi	2
bn-ur	2
bua-de	2
bua-en	2
bua-ko	2
bua-ru	2
ar-eu	2
eu-it	2
ca-en-GB	2
en-GB-eo	2
en-vls	2
fr-vls	2
ca-lad	2
oc-pt	2
bar-es	2
cs-he	2
he-sk	2
be-yi	2
de-yi	2
pl-yi	2
ru-yi	2
rue-uk	2
cs-sh	2
pl-sh	2
sh-sk	2
el-yo	2
de-sw	2
eo-hsb	2
el-et	2
eo-fi	2
et-sv	2
fr-hsb	2
hsb-ro	2
cs-uz	2
cs-grc	2
grc-sk	2
la-sk	2
sk-szl	2
cs-vi	2
cs-ko	2
krc-ru	2
bs-da	2
no-simple	2
crh-tk	2
crh-tt	2
crh-ug	2
crh-uz	2
diq-en	2
bar-it	2
fa-uk	2
grc-scn	2
simple-zh	2
de-vep	2
en-vep	2
eo-vep	2
ru-vep	2
de-pt-BR	2
fr-sc	2
bn-de	2
bn-el	2
bn-uk	2
el-pnt	2
en-nv	2
en-pnt	2
eo-pnt	2
grc-sq	2
grc-uk	2
la-mk	2
la-sq	2
pnt-sr	2
pnt-uk	2
ace-en	2
aeb-ar	2
aeb-en	2
aeb-fr	2
de-guc	2
en-guc	2
es-guc	2
guc-he	2
guc-lad	2
guc-pt	2
af-el	2
af-hr	2
af-kk	2
af-ko	2
af-uk	2
ar-kk	2
ar-ur	2
ar-vi	2
bn-fr	2
